[2026-03-19T23:24:37.186Z] {"timestamp":1773962677086,"kind":"focusin","url":"http://localhost:3000/","viewport":{"width":929,"height":925},"payload":{"target":{"tag":"input","id":null,"name":null,"type":"email","role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\WaitlistModal.tsx:307","href":null,"text":"","selectorHint":"[data-loc=\"client\\src\\components\\WaitlistModal.tsx:307\"]"}}}
[2026-03-19T23:24:49.625Z] {"timestamp":1773962688510,"kind":"click","url":"http://localhost:3000/","viewport":{"width":929,"height":925},"payload":{"target":{"tag":"input","id":null,"name":null,"type":"email","role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\WaitlistModal.tsx:307","href":null,"text":"","selectorHint":"[data-loc=\"client\\src\\components\\WaitlistModal.tsx:307\"]"},"x":465,"y":611}}
[2026-03-19T23:24:53.066Z] {"timestamp":1773962691711,"kind":"change","url":"http://localhost:3000/","viewport":{"width":929,"height":925},"payload":{"target":{"tag":"input","id":null,"name":null,"type":"email","role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\WaitlistModal.tsx:307","href":null,"text":"","selectorHint":"[data-loc=\"client\\src\\components\\WaitlistModal.tsx:307\"]"},"value":"test_agent@example.com"}}
[2026-03-19T23:24:53.066Z] {"timestamp":1773962691711,"kind":"focusout","url":"http://localhost:3000/","viewport":{"width":929,"height":925},"payload":{"target":{"tag":"input","id":null,"name":null,"type":"email","role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\WaitlistModal.tsx:307","href":null,"text":"","selectorHint":"[data-loc=\"client\\src\\components\\WaitlistModal.tsx:307\"]"},"value":"test_agent@example.com"}}
[2026-03-19T23:24:53.066Z] {"timestamp":1773962691712,"kind":"focusin","url":"http://localhost:3000/","viewport":{"width":929,"height":925},"payload":{"target":{"tag":"button","id":null,"name":null,"type":null,"role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\WaitlistModal.tsx:343","href":null,"text":"Get 3 Months Free →","selectorHint":"[data-loc=\"client\\src\\components\\WaitlistModal.tsx:343\"]"}}}
[2026-03-19T23:24:53.066Z] {"timestamp":1773962691732,"kind":"click","url":"http://localhost:3000/","viewport":{"width":929,"height":925},"payload":{"target":{"tag":"button","id":null,"name":null,"type":null,"role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\WaitlistModal.tsx:343","href":null,"text":"Get 3 Months Free →","selectorHint":"[data-loc=\"client\\src\\components\\WaitlistModal.tsx:343\"]"},"x":465,"y":670}}
[2026-03-19T23:24:53.066Z] {"timestamp":1773962691734,"kind":"submit","url":"http://localhost:3000/","viewport":{"width":929,"height":925},"payload":{"target":{"tag":"form","id":null,"name":null,"type":null,"role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\WaitlistModal.tsx:305","href":null,"text":"Get 3 Months Free → We respect your inbox. No spam. You'll only get an email whe…","selectorHint":"[data-loc=\"client\\src\\components\\WaitlistModal.tsx:305\"]"}}}
[2026-03-19T23:24:53.066Z] {"timestamp":1773962691739,"kind":"focusout","url":"http://localhost:3000/","viewport":{"width":929,"height":925},"payload":{"target":{"tag":"button","id":null,"name":null,"type":null,"role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\WaitlistModal.tsx:343","href":null,"text":"Get 3 Months Free →","selectorHint":"[data-loc=\"client\\src\\components\\WaitlistModal.tsx:343\"]"},"value":null}}
[2026-03-19T23:26:14.930Z] {"timestamp":1773962773413,"kind":"focusin","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"target":{"tag":"input","id":null,"name":null,"type":"email","role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\WaitlistModal.tsx:307","href":null,"text":"","selectorHint":"[data-loc=\"client\\src\\components\\WaitlistModal.tsx:307\"]"}}}
[2026-03-19T23:26:16.876Z] {"timestamp":1773962775649,"kind":"focusout","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"target":{"tag":"input","id":null,"name":null,"type":"email","role":null,"ariaLabel":null,"testId":null,"dataLoc":"client\\src\\components\\WaitlistModal.tsx:307","href":null,"text":"","selectorHint":"[data-loc=\"client\\src\\components\\WaitlistModal.tsx:307\"]"},"value":""}}
[2026-03-19T23:26:16.876Z] {"timestamp":1773962775650,"kind":"focusin","url":"http://localhost:3000/","viewport":{"width":1920,"height":953},"payload":{"target":{"tag":"button","id":null,"name":null,"type":null,"role":null,"ariaLabel":"Close","testId":null,"dataLoc":"client\\src\\components\\WaitlistModal.tsx:125","href":null,"text":"","selectorHint":"[data-loc=\"client\\src\\components\\WaitlistModal.tsx:125\"]"}}}
